Names	total	elements
		EVPL
		CTTN
		RELL2
		ITIH4
		GATC
		LCN8
		LNX1
		TYMP
		ACCSL
		MYBPC2
		RNASE4
		NEK2
		REPIN1
		WDR73
		YPEL3
		RGPD6
		HTRA4
		CH25H
		SDHA
		GINS2
		ST20-MTHFS
		ALPL
		SMAD6
		SPC24
		ADAMTS7
		TFAP2E
		VEGFB
		AS3MT
		USP27X
		NRXN2
		C8orf82
		OR2A4
		ARTN
		ABCA13
		DUSP13
		SRSF12
		MAPK8IP1
		GNB3
		PITPNM1
		SLFN12L
		CCDC13
		DUSP8
		ABHD1
		STEAP1
		FAM50A
		IL2RG
		BLOC1S4
		CDC25A
		PLXNA3
		KCTD14
		FZR1
		DPH1
		ESPL1
		B3GNT5
		RBP5
		PTGER3
		VAMP2
		BCL2L12
		E2F8
		CCDC183
		PTPRCAP
		SLFN14
		ANKRD34B
		CNPY2
		CCNA1
		C11orf42
		LRP3
		SOX7
		NMB
		MYL4
		ZSCAN18
		ZNF837
		CYBA
		RGMB
		TGFB2
		MATK
		MOB2
		LILRA4
		EHF
		CHMP4A
		KLK14
		TMEM160
		DNAH14
		FRMD3
		LZTR1
		SLC28A3
		ATP1A3
		ARVCF
		MEX3B
		ZNF385D
		FBXO16
		ROGDI
		S100P
		MATR3
		DEPDC1B
		C1QC
		TM9SF1
		WEE2
		PLCB2
		ZBED3
		CSNK1A1L
		SLC25A37
		SLC6A4
		MID1IP1
		C17orf67
		TMOD4
		UCN
		CPSF4L
		SMDT1
		USF2
		MMRN2
		GABARAP
		FBXL6
		AGAP5
		FAM20A
		PELP1
		FSCN2
		EIF3B
		CKLF-CMTM1
		RHOF
		MYO3B
		PROM2
		SLX1B
		PPM1J
		C19orf53
		CDH13
		B4GALNT4
		STRADB
		PKD1
		GNAI2
		FASN
		CAMK1
		BTNL9
		VEPH1
		AMBP
		ZNF219
		MAB21L3
		KCNT1
		FGFBP3
		NGRN
		CROCC
		FGF11
		ZYG11A
		TOP3B
		GRK6
		CA14
		YBX2
		RPL29
		CIB2
		MXRA8
		EPHA2
		CRLS1
		SARS2
		SP6
		GLUD2
		DEFA4
		RPS23
		HPS6
		B3GNT9
		PLN
		PROK2
		SNRNP70
		PRICKLE3
		PTOV1
		ZACN
		CALML4
		UCHL1
		DBNDD2
		ZBTB22
		TMEM45A
		ZNF513
		PLK1
		HAGHL
		SYT2
		EVI5L
		DDX47
		THAP11
		CACNA1E
		CEACAM8
		SSBP4
		KLF16
		SMIM22
		SLC26A8
		NDUFC2-KCTD14
		PLTP
		MAPKAP1
		FLYWCH1
		SEC16B
		SULT1A4
		MINK1
		DACT3
		CACHD1
		SLC25A1
		SLC25A32
		FLT3LG
		FAM89B
		TGFBR3L
		NPB
		SYT5
		SPRN
		HBEGF
		PRTFDC1
		PNMT
		PRPF19
		EIF4EBP3
		RPL12
		RASAL1
		WIZ
		DDAH1
		MXD4
		JTB
		CEP170B
		NEIL3
		NUTM2D
		KIF11
		INSC
		SYNC
		FZD2
		PNMA5
		CCNI2
		MAEL
		LRRC37A2
		CPLX1
		CLK2
		PPP6R1
		EFHD1
		KIF18B
		COPZ2
		RAP1GAP
		GNG10
		POLR2I
		NEFM
		NOP2
		NNAT
		ANGPTL7
		RAD9A
		SLC4A3
		ADORA2A
		STMN3
		SYN1
		DHRSX
		KCNH2
		CXCR2
		IFITM5
		NPIPB8
		RNASE2
		PODXL2
		CELF6
		CLDN22
		LRFN3
		SRPK3
		MROH8
		HOXB3
		PLCB3
		TMEM217
		CMC4
		LRRC4
		FANCD2OS
		IGFBP7
		IFFO2
		SIRT4
		PTRH1
		POTEE
		EHMT2
		HYI
		STRIP2
		DEGS2
		GPR52
		CCDC102A
		METRN
		FAM156B
		TMCC2
		ARHGAP33
		MYOT
		ZRSR2
		C3orf20
		SGIP1
		PLCH2
		RCAN2
		C4A
		GPR22
		HIRA
		PPARG
		FBRSL1
		CITED1
		CACNA1B
		DMPK
		KIFC1
		PRRT4
		CCL7
		GET4
		DSC2
		NPIPA7
		ANKS6
		ZNF639
		DTX1
		PUS1
		GFI1B
		BCL9L
		NUDT18
		OLFM1
		HSPA4L
		ALX3
		MID1
		C2orf81
		LIPH
		C3orf33
		CYP4F3
		ALDH1A2
		POMZP3
		MGAT5B
		OTX1
		STON2
		RLN1
		PTGFR
		ZNF410
		ABHD15
		AFP
		STOX2
		CDR2
		PDCD7
		NLGN2
		IL17RE
		ABCC4
		ZFP36L2
		CUZD1
		MPND
		CC2D1A
		ELOVL7
		STRADA
		CTF1
		EGFL7
		LLGL1
		IFIT2
		C4orf36
		DYTN
		THBD
		TPBGL
		ITGB7
		CHKB
		CTAGE15
		CCL27
		FSTL4
		FAAH
		SMIM10
		TCEA2
		PVRIG
		HECW2
		VPS51
		RPS2
		INO80E
		NPIPB11
		LSMEM1
		PGLYRP2
		STUB1
		THTPA
		GP6
		ILK
		NBPF20
		ZNF20
		SEC14L3
		TRIM40
		STEAP4
		RASA4
		SERPINB2
		TNFRSF4
		GJA4
		CCDC120
		PLA1A
		WDR17
		SNAPC4
		NHP2
		FAF1
		CLCN2
		POU5F2
		RRP36
		P2RY1
		EMID1
		POC1B-GALNT4
		TEAD2
		DPM3
		RAB27B
		ZXDA
		COL6A2
		ANKS1B
		GSTO2
		TLL2
		VANGL2
		DLG4
		CRB2
		KLRK1
		UBE2M
		STOM
		TMEM8B
		P2RX5
		LTB4R2
		WWC1
		JAKMIP1
		CD248
		UNC79
		SYT15
		SMOX
		SF3A2
		SMAD7
		BOLA2
		SDC4
		TMC8
		MPO
		CDC42BPG
		RNF19B
		GOLGA8A
		LTB
		ANO2
		PHOX2A
		ZFPM1
		ABCC3
		BTBD2
		CSF3
		LMO2
		ARHGEF35
		BEST1
		MMACHC
		AMY2A
		RHAG
		CSNK1G2
		ADAMTS4
		RSPO4
		CD7
		EDNRB
		RPL22
		RGS7
		EGLN1
		ASIC1
		MAN1C1
		RWDD3
		FEM1A
		COX20
		C1orf122
		PTGES3L
		RAB6B
		SHANK1
		ARHGEF39
		MYCT1
		S1PR4
		RBM14-RBM4
		SLC25A29
		CCL20
		SPHK1
		ATN1
		ISY1-RAB43
		RPS26
		TSSK3
		PARPBP
		PRR5-ARHGAP8
		MYLK4
