"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAMD14",70.8022117804926,-1.78147370989653,0.471144764701011,-3.78115993929606,0.000156099343138828,0.000534752137268807
"GLYATL1",9.59310620265521,1.54436520386465,0.408599730540321,3.77965301597832,0.000157047058238335,0.000537414056461386
"SBNO2",661.209205030642,-1.63241190106107,0.432580471621705,-3.77366064385963,0.000160869550795697,0.000549422814021165
"TMEM74B",1.39652187964069,-3.05548741915255,0.809970430149932,-3.77234440347032,0.000161720817620283,0.000551737359674612
"AANAT",12.9485648562659,-1.55872526350792,0.413688191158711,-3.7678746863478,0.000164643310735556,0.000561339017925031
"PRAP1",1.76181429585959,-3.42381292217957,0.909385094313366,-3.76497585411242,0.000166565177262998,0.000567400858702375
"FIZ1",64.5768411298321,-1.48477554034605,0.395628137280906,-3.75295738708246,0.000174760571391189,0.000591993928690256
"ITGA3",27.5220015891009,-1.51971844089381,0.405426819413251,-3.74844082365643,0.000177937308312866,0.000601979242108651
"SEMA6C",15.9674586250166,-2.8268738176745,0.754878999160503,-3.74480389680764,0.000180534733415607,0.000609850892146273
"CAPN3",149.855394138038,-1.38964049605427,0.371169917115896,-3.74394699562994,0.000181151884080543,0.000611673627856632
"RPL26",5836.54730506068,-1.9967196514449,0.533968668937255,-3.73939477651175,0.000184463841810338,0.000621791774531449
"CACNG6",8.52958513205538,-6.64284991851471,1.77705020362717,-3.73813294917379,0.000185391908314178,0.000624653103595644
"OGFR",899.424996952197,-1.86317631640125,0.498658560167089,-3.73637688236403,0.000186690791725224,0.00062827863539527
"EMILIN1",15.5886433650024,-1.86322105746719,0.498764641801747,-3.73567190075154,0.000187214637222553,0.000629852657481677
"PTGES3L",15.4361147440215,1.74063104213622,0.466893107359423,3.72811466843149,0.000192917600837022,0.000647795699468067
"ADM5",21.1680026473697,-1.27636070575384,0.342673055538952,-3.72471860603802,0.000195533208071473,0.000656019944204057
"FPGT-TNNI3K",8.82976207585195,-2.07638895124433,0.557724401888595,-3.72296593839744,0.00019689609328397,0.000659890604180784
"GPT",6.29636542170256,-2.78828731475311,0.750599046041378,-3.71474934515091,0.000203405215514159,0.000678820791174211
"NCS1",6.41105278027485,-3.02903653396013,0.81567365961584,-3.71353972051362,0.000204380369384579,0.00068164245843383
"SERF1A",33.4252215131902,-2.75954817303922,0.743749010036514,-3.71032180991239,0.000206995951565671,0.000689491055563626
"DNAH7",11.0389976613923,1.33756873029795,0.360583179319258,3.70945958384175,0.000207702108380044,0.000691697139647394
"ADAMTS4",11.5701126825891,-1.55688527488272,0.419851227914848,-3.70818321197927,0.000208751602525783,0.00069475211543293
"XKR6",42.1812345333894,-1.30696199197146,0.353105627623975,-3.70133435925652,0.000214468642129942,0.000712576242610796
"JUND",4183.01306844141,-2.19411529429278,0.593003313839245,-3.70000511479026,0.000215595121671908,0.000716017321332773
"NRTN",1.90600618891672,-2.61192818756857,0.706194377273768,-3.69859669182273,0.000216794762262228,0.000719395537639355
"SHF",17.176678813346,-1.33226353161377,0.360240560321423,-3.69826076892913,0.00021708181274528,0.00072004507899444
"SYT5",1.91927543779445,-2.79453744437226,0.755832511308848,-3.6972972220169,0.000217907157218909,0.000722630715655304
"MMRN2",10.7994516629245,-3.30284149611885,0.894045556515109,-3.69426532244393,0.000220523450436752,0.000730232177259805
"GPR143",10.1129544999014,1.61290681419522,0.436637776939172,3.69392411600685,0.000220819724161222,0.000730906335670681
"EFNA5",54.1312333112808,1.26146361361094,0.34156408655235,3.69319745042223,0.000221451942592092,0.000732845161259437
"DYNLRB1",402.446866007339,-1.56195096562384,0.4230317991121,-3.69227790653614,0.000222254406084482,0.000735346442786753
"GNA14",3.81781936248108,3.17937844252065,0.861353433606505,3.69114270457892,0.000223248834349832,0.000737708069425005
"SPNS2",6.88825102951325,-1.88851881238268,0.512161215031706,-3.6873522573664,0.000226599576966187,0.00074784024438391
"CTAGE9",2.05431882805864,-3.17448258802117,0.861363672801443,-3.68541498586385,0.000228330291473559,0.000752764497725954
"RASL10A",5.69049340280243,-2.22872535987262,0.604903599267509,-3.68443064741462,0.000229214423269764,0.00075521486640166
"PCDHGA2",1.07595016511344,-3.83996109790593,1.04493489633032,-3.67483286412521,0.000238005166755388,0.000781882418259941
"SPTBN5",57.8247839918689,-1.29665961561852,0.353350792010031,-3.66961004457494,0.000242920749502416,0.000797200595329194
"C1orf115",25.0694661388052,-1.82883298774428,0.498456695053959,-3.66899071853434,0.000243509918659434,0.000798967846285955
"JAG2",15.6783133460516,-2.20556320960314,0.601511700365904,-3.66670042870568,0.000245700352104584,0.000805819495403097
"GDF7",32.9537925440679,-1.5489690017294,0.422567820735147,-3.66561040789768,0.000246749327163024,0.000809091556759919
"RAP1GAP",22.3933828074229,2.97392195166321,0.812779168411968,3.65895444573678,0.000253246346900577,0.000829228141414653
"C3orf70",2.9677953502171,3.2369874240278,0.884678475931154,3.65894221696844,0.000253258429951457,0.000829228141414653
"MTA1",436.357352472109,-1.80570654392117,0.493725081037226,-3.65731175764396,0.000254874311308109,0.000833872274587879
"SGPP2",31.613663021906,-1.38666035419914,0.379261155808392,-3.6562150722857,0.000255966624377473,0.00083722637902976
"CELF5",1.60674257316739,-3.43694143983238,0.940144839128433,-3.65575738629658,0.000256423782675271,0.000838547771170302
"SRPK3",3.95559857846854,-2.88909136828652,0.791602383580871,-3.64967492292975,0.000262572386723216,0.000856346501943459
"DCC",5.22142829472363,4.43121474988749,1.21813212181385,3.6377127493274,0.000275069956477161,0.00089433175707231
"GDPD3",45.5376277481906,-1.29693630641803,0.357141133942579,-3.6314391795221,0.000281845084538619,0.00091409843169712
"ZNF853",67.4607919921313,-2.49170707971598,0.686402834914922,-3.63009438914223,0.00028331759578293,0.000917930386336972
"CRB2",21.7124629211391,-1.51436034559941,0.417368922612658,-3.62834955731675,0.00028523888721485,0.000923775714405056
"OR2A4",1.32237095205675,-3.44268834492539,0.949383822632113,-3.62623447214503,0.000287584244133374,0.000930798009126118
"TRPC1",17.4180691993917,-1.63235277207522,0.450789939324982,-3.62109406105985,0.000293359825828516,0.000947740920312854
"FRMD5",37.9640560712658,1.30144967909286,0.359635812688369,3.6187988881424,0.000295973530239351,0.000955206572321475
"DMC1",6.28156701874727,2.2542204107189,0.623151678969407,3.6174505931638,0.000297519099565107,0.000959998207516545
"CCDC136",28.7713228560474,-1.26152930925117,0.348878482413447,-3.61595619346958,0.000299240981630575,0.000964567496888909
"PLIN5",42.794940118233,1.83356213711946,0.50711495123477,3.6156735916678,0.000299567649558445,0.000965225938475136
"ZFHX2",9.59199654218272,-1.95858610648733,0.541783618825504,-3.61507073752658,0.000300265623272989,0.000967277248827937
"RNF187",1298.55368425869,-1.47515201726108,0.408101986560086,-3.61466512254746,0.000300736093800189,0.000968397237937237
"PRSS50",0.648983010868412,-3.78601040323969,1.04774884848535,-3.61347130919097,0.000302124800376092,0.000972670412641708
"C4orf48",68.8517977413926,-1.47744414426599,0.409180209955065,-3.610741937955,0.000305322340496744,0.000981362126414235
"HSPA4L",8.04730351929729,2.66492037012679,0.738112889860476,3.61045093065715,0.000305665127409496,0.000982263730542497
"MATN1",19.9079879928087,-1.762608171173,0.488576595432447,-3.60763939093908,0.000308995541595122,0.000992359536151145
"ENKD1",47.2795754212013,-1.38773895838178,0.384817388834091,-3.60622726167941,0.000310681070816664,0.00099716358341889
"ADAMTS2",59.6097645825496,2.89976765812765,0.804480673158251,3.60452122080654,0.000312728897505174,0.00100291992099463
"OR2T2",1.68359197632874,2.43077133863069,0.674495630119263,3.60383556258309,0.000313555474035511,0.00100536632170931
"DHRS11",30.2048024724442,-1.4833688102599,0.411820294551223,-3.60198083942509,0.000315801645813485,0.00101195114948604
"GLDC",25.9276144808943,1.52209900820011,0.422914045963156,3.59907414456674,0.000319352136004372,0.00102228980902394
"FAM86B2",2.16648921736829,-1.5526109503585,0.431810410553909,-3.59558480391169,0.000323663667193087,0.00103462167794272
"NEFM",3.9375943673883,-2.59499647615922,0.721751573205506,-3.59541506038441,0.000323874790571505,0.00103508676735436
"MMP14",35.5211685022287,-1.53882717317493,0.428549316587834,-3.59078200247121,0.000329687304440504,0.00105238376151298
"LBX2",5.17331627688524,-1.47361016859748,0.410713549724824,-3.58792683997104,0.000333317781791898,0.00106268204051381
"MICU3",15.2485066258384,-1.32485357670462,0.369384764609466,-3.58664921685476,0.000334954426842098,0.0010676841592873
"NXF3",6.27596618970843,2.38762509714096,0.665770041792311,3.58626094186104,0.000335453297978145,0.00106905827757351
"DYNLL2",752.131740539693,-1.49007489260468,0.416148131587615,-3.58063578687715,0.000342759159311078,0.00109101866007151
"SPSB1",47.6222999113445,-1.30876836736285,0.365943579664368,-3.57642117553533,0.000348330284250627,0.00110651867939595
